ËõĞ´	Ó¢ÎÄ	ÖĞÎÄ	Àà±ğ
AAC	automatic ampltiude control	×Ô¶¯·ù¶È¿ØÖÆ	ÒôÆµĞÅºÅ ²ÎÊı
null	AB	ABÖÆÁ¢ÌåÉùÂ¼Òô·¨	ÒôÆµÓ²¼ş Éè±¸
null	Abeyancd	ÔİÍ££¬Ç±Ì¬	ÆäËû Í¨ÓÃÊõÓï
A-B	repeat	A-BÖØ¸´	ÆäËû Í¨ÓÃÊõÓï
ABS	absolute	¾ø¶ÔµÄ£¬ÍêÈ«µÄ£¬¾ø¶ÔÊ±¼ä	ÆäËû Í¨ÓÃÊõÓï
ABS	american bureau of standard	ÃÀ¹ú±ê×¼¾Ö	ÆäËû Í¨ÓÃÊõÓï
ABSS	auto blank secrion scanning	×Ô¶¯´Å´ø¿Õ°×²¿·ÖÉ¨Ãè	ÒôÆµÓ²¼ş Éè±¸
null	Abstime	¾ø¶ÔÔËĞĞÊ±¼ä	ÆäËû Í¨ÓÃÊõÓï
A.DEF	audio defeat	ÒôÆµ½µÔë£¬ÔëÉùÒÖÖÆ£¬°éÒô¾²Ôë	ÒôÆµĞ§¹û ´¦Àí
ADJ	adjective	¸½ÊôµÄ£¬¸½¼ş	ÆäËû Í¨ÓÃÊõÓï
ADJ	Adjust	µ÷½Ú	ÆäËû Í¨ÓÃÊõÓï
ADJ	acoustic delay line	ÉùÑÓ³ÙÏß	ÒôÆµĞ§¹û ´¦Àí
null	Admission	ÔÊĞí½øÈë£¬¹©¸ø	ÆäËû Í¨ÓÃÊõÓï
ADP	acoustic data processor	ÒôÏìÊı¾İ´¦Àí»ú	ÒôÆµÓ²¼ş Éè±¸
ADP(T)	adpter	ÑÓÅäÆ÷£¬×ª½ÓÆ÷	ÒôÆµÓ²¼ş Éè±¸
ADRES	automatic dynamic range expansion system	¶¯Ì¬·¶Î§À©Õ¹ÏµÍ³	ÒôÆµĞ§¹û ´¦Àí
ADRM	analog to digital remaster	Ä£ÄâÂ¼Òô£¬Êı×Ö´¦ÀíÊıÂë³ªÅÌ	ÒôÆµĞ§¹û ´¦Àí
ADS	audio distribution system	ÒôÆµ·ÖÅäÏµÍ³	ÒôÆµÓ²¼ş Éè±¸
A.DUB	audio dubbing	ÅäÒô£¬ÒôÆµ¸´ÖÆ£¬ºóÆÚÂ¼Òô	ÒôÆµĞ§¹û ´¦Àí
ADV	advance	ËÍÈë£¬ÌáÉı£¬Ç°ÖÃÁ¿	ÆäËû Í¨ÓÃÊõÓï
ADV	adversum	¶Ô¿¹	ÆäËû Í¨ÓÃÊõÓï
ADV	advancer	ÏàÎ»³¬Ç°²¹³¥Æ÷	ÒôÆµĞÅºÅ ²ÎÊı
null	Adventure	¾ªÏÕĞ§¹û	ÆäËû Í¨ÓÃÊõÓï
AE	audio erasing	ÒôÆµ£¨ÉùÒô£©²Á³ı	ÒôÆµĞ§¹û ´¦Àí
AE	auxiliary equipment	¸¨ÖúÉè±¸	ÒôÆµÓ²¼ş Éè±¸
null	Aerial	ÌìÏß	ÒôÆµÓ²¼ş Éè±¸
AES	audio engineering society	ÃÀ¹úÉùÆµ¹¤³ÌĞ­»á	ÒôÆµÓ²¼ş Éè±¸
AF	audio fidelity	ÒôÆµ±£Õæ¶È	ÆäËû Í¨ÓÃÊõÓï
AF	audio frequency	ÒôÆµÆµÂÊ	ÒôÆµĞÅºÅ ²ÎÊı
AFC	active field control	×Ô¶¯ÆµÂÊ¿ØÖÆ	ÒôÆµĞÅºÅ ²ÎÊı
AFC	automatic frequency control	Éù³¡¿ØÖÆ	ÒôÆµĞÅºÅ ²ÎÊı
null	Affricate	Èû²ÁÒô	ÒôÆµĞÅºÅ ²ÎÊı
AFL	aside fade listen	Ë¥¼õºó£¨ÍÆ×Óºó£©¼àÌı	ÆäËû Í¨ÓÃÊõÓï
null	A-fader	ÒôÆµË¥¼õ	ÒôÆµĞ§¹û ´¦Àí
AFM	advance frequency modulation	¸ß¼¶µ÷Æµ	ÒôÆµĞ§¹û ´¦Àí
AFS	acoustic feedback speaker	Éù·´À¡ÑïÉùÆ÷	ÒôÆµĞÅºÅ ²ÎÊı
AFT	automatic fine tuning	×Ô¶¯Î¢µ÷	ÒôÆµÓ²¼ş Éè±¸
AFTAAS	advanced fast time acoustic analysis system	¸ß¼¶¿ìËÙÒôÏì·ÖÎöÏµÍ³	ÒôÆµĞÅºÅ ²ÎÊı
null	After	×ªÒÆ²¿·ÖÎÄ¼ş	ÒôÆµÓ²¼ş Éè±¸
null	Afterglow	Óà»Ô£¬Ï¦ÕÕÊ±·ÖÒôÏìĞ§¹û	ÆäËû Í¨ÓÃÊõÓï
null	Against	ÒÔÿÿÎª±³¾°	ÒôÆµÓ²¼ş Éè±¸
AGC	automatic gain control	×Ô¶¯ÔöÒæ¿ØÖÆ	ÆäËû Í¨ÓÃÊõÓï
AHD	audio high density	ÒôÆµ¸ßÃÜ¶È³ªÆ¬ÏµÍ³	ÒôÆµÓ²¼ş Éè±¸
AI	advanced integrated	Ô¤»ãÁ÷	ÆäËû Í¨ÓÃÊõÓï
AI	amplifier input	·Å´óÆ÷ÊäÈë	ÒôÆµÓ²¼ş Éè±¸
AI	artificial intelligence	ÈË¹¤ÖÇÄÜ	ÒôÆµÓ²¼ş Éè±¸
AI	azimuth indicator	·½Î»Ö¸Ê¾Æ÷	ÒôÆµÓ²¼ş Éè±¸
null	A-IN	ÒôÆµÊäÈë	ÒôÆµÓ²¼ş Éè±¸
A-INSEL	audio input selection	ÒôÆµÊäÈëÑ¡Ôñ	ÒôÆµÓ²¼ş Éè±¸
null	Alarm	¾¯±¨Æ÷	ÒôÆµÓ²¼ş Éè±¸
ALC	automatic level control	×Ô¶¯µçÆ½¿ØÖÆ	ÒôÆµĞÅºÅ ²ÎÊı
ALC	automatic load control	×Ô¶¯¸ºÔØ¿ØÖÆ	ÒôÆµĞÅºÅ ²ÎÊı
null	Alford loop	°®¸£ÌØ»·ĞÎÌìÏß	ÒôÆµÓ²¼ş Éè±¸
null	Algorithm	ÑİÊ¾	ÆäËû Í¨ÓÃÊõÓï
null	Aliasing	Á¿»¯ÔëÉù£¬ÆµÆ×»ìµş	ÒôÆµĞÅºÅ ²ÎÊı
null	Aliasing distortion	ÕÛµşÊ§Õæ	ÒôÆµĞÅºÅ ²ÎÊı
null	Align alignment	Ğ£Õı£¬²¹³¥£¬Î¢µ÷£¬Æ¥Åä	ÆäËû Í¨ÓÃÊõÓï
null	Al-Si-Fe alloy head	Ìú¹èÂÁºÏ½ğ´ÅÍ·	ÒôÆµÓ²¼ş Éè±¸
null	Allegretto	Ğ¡¿ì°å£¬ÉÔ¿ìµØ	ÆäËû Í¨ÓÃÊõÓï
null	Allegro	¿ì°å£¬Ñ¸ËÙµØ	ÆäËû Í¨ÓÃÊõÓï
null	Allocation	ÅäÖÃ£¬¶¨Î»	ÆäËû Í¨ÓÃÊõÓï
null	All rating	È«£¨Òô£©Óò	ÒôÆµĞÅºÅ ²ÎÊı
ALM	audio level meter	ÒôÆµµçÆ½±í	ÒôÆµÓ²¼ş Éè±¸
ALT	alternating	Õğµ´£¬½»ÌæµÄ	ÆäËû Í¨ÓÃÊõÓï
ALT	alternator	½»Á÷·¢µç»ú	ÒôÆµÓ²¼ş Éè±¸
ALT	altertue	×ªÂ·	ÆäËû Í¨ÓÃÊõÓï
ALT-CH	alternate channel	×ª»»Í¨µÀ£¬½»ÌæÉùµÀ	ÒôÆµÓ²¼ş Éè±¸
null	Alter	×ª»»£¬½»Á÷µç£¬±ä»»Æ÷	ÆäËû Í¨ÓÃÊõÓï
AM	amperemeter	°²Åà¼Æ£¬µçÁ÷±í	ÒôÆµÓ²¼ş Éè±¸
AM	amplitude modulation	µ÷·ù£¨¹ã²¥£©	ÒôÆµÓ²¼ş Éè±¸
AM	auxiliary memory	¸¨Öú´æ´¢Æ÷	ÒôÆµĞÅºÅ ²ÎÊı
null	Ambience	ÁÙ³¡¸Ğ£¬»·ÈÆ¸Ğ	ÒôÆµÓ²¼ş Éè±¸
ABTD	automatic bulk tape degausser	´Å´ø×Ô¶¯ÕûÌåÈ¥´ÅµçÂ·	ÒôÆµĞ§¹û ´¦Àí
null	Ambient	»·¾³µÄ	ÒôÆµÓ²¼ş Éè±¸
null	Ambiophonic system	»·ÈÆÉùÏµÍ³	ÆäËû Í¨ÓÃÊõÓï
null	Ambiophony	ÏÖ³¡»ìÏì£¬»·¾³Á¢ÌåÉù	ÒôÆµÓ²¼ş Éè±¸
